cm_track_id,isrc,name,IsHit,cm_artist,artist_names,spotify_popularity,score,track_genre,image_url,artist_images,spotify_artist_ids,explicit,region_codes,PredictedIsHit
86215642,11622,20072,1,5276,10427,62.0,0.006035141155,309,9928,2230,4287,1,1312,1
115783700,12282,6768,1,6141,3932,80.0,0.011435927395,309,7057,3136,5071,0,1312,1
115986085,1530,14761,1,2178,7067,76.0,0.012213460822,309,7114,3902,141,1,474,1
116173304,17721,3242,1,656,8662,75.0,0.01185219083,309,9699,1638,3194,0,1487,1
117113173,13537,17857,1,10305,6752,71.0,0.011962839433,309,6206,3650,5129,1,1487,1
116864999,7617,5843,1,997,1771,69.0,0.031959400304,309,10346,3782,1633,1,1293,1
111519827,12109,15600,1,238,1427,68.0,0.005022240459,58,5248,1499,545,0,26,1
98666550,1608,14126,1,10507,7075,62.0,0.006140495265,309,4666,4276,2814,0,1337,1
116398143,3169,8835,1,10238,5200,57.0,0.004220311538,309,6005,2697,1180,0,375,1
31477502,3767,18299,0,7901,8962,29.0,0.001426422616,91,5975,3976,4597,0,474,0
100649879,23445,9200,1,8603,8243,59.0,0.005401156208,309,6905,2836,432,0,1337,1
111773149,12112,10979,0,814,1588,0.0,0.002915155174,309,7056,710,4030,0,1487,0
104039704,23448,17492,1,10749,5226,60.0,0.005021700157,309,8612,615,60,0,1332,1
101594774,23396,11496,1,459,9029,52.0,0.004102745074,309,8391,2550,135,0,1337,1
116418214,5679,8406,0,5357,7907,5.0,0.004546040853,309,6634,3363,2445,1,474,1
104140639,11843,5357,0,215,7333,44.0,0.002102948149,309,5856,2447,1847,1,1312,1
115115300,12224,15163,1,1185,5475,65.0,0.003730882348,309,10278,4775,2381,1,1487,1
109144754,11845,1535,0,10745,744,43.0,0.002925989151,309,10750,2123,3125,1,1312,1
76325629,10693,6010,1,7484,3352,51.0,0.001853848814,309,14186,2181,5023,0,1332,1
102395327,23447,18851,1,10719,10599,57.0,0.002022875631,309,9095,566,1765,0,1332,1
73318006,10865,8713,1,5878,9670,59.0,0.002199264009,309,8374,420,4451,0,1337,1
101332688,3259,20141,1,6016,1959,52.0,0.00227233307,309,7325,2495,167,0,1337,1
99151911,1604,3775,1,5949,4027,50.0,0.001927996252,309,8981,3311,2723,0,1337,1
99304399,14240,18900,0,10765,3563,44.0,0.002097946595,309,14232,4086,785,0,1332,1
100298507,23443,7434,1,8509,6896,50.0,0.005607191804,309,4685,1986,157,0,1332,1
116897170,7618,1081,0,639,4257,0.0,0.003046843685,309,5388,2848,4317,0,786,1
103569186,14644,3820,1,5639,7078,57.0,0.003455738453,36,5593,2619,2244,1,723,1
60178526,3308,20131,0,932,6743,47.0,0.001448432216,309,7659,1100,922,0,1332,1
116728135,18141,19393,1,6106,10697,59.0,0.005726660612,309,6304,315,4897,1,1312,1
106422613,1395,14453,0,2511,4328,34.0,0.001754751764,309,13313,725,1400,0,1311,0
