cm_artist_id,name,image_url,isni,code2,hometown_city,verified,current_city,sp_followers,sp_popularity,sp_monthly_listeners,deezer_fans,cm_artist_rank,cm_artist_score,tags,timestp,popularity,rank,change,velocity,streak,created_at,peak_date,peak_rank,time_on_chart,rankStats
2762,Taylor Swift,https://share.chartmetric.com/artists/299/172/11172299/11172299-profile.webp,0000000078519858,US,,True,,114760675.0,100.0,98036837.0,11114540.0,1.0,647055.0,"['Country', 'Pop', 'Rock']",2024-07-01,100,1,0.0,0.0,78,2024-07-01 08:58:49.864,2024-07-01,1,2273,"[{'date': '2024-06-18', 'rank': 1}, {'date': '2024-06-19', 'rank': 1}, {'date': '2024-06-20', 'rank': 1}, {'date': '2024-06-21', 'rank': 1}, {'date': '2024-06-22', 'rank': 1}, {'date': '2024-06-23', 'rank': 1}, {'date': '2024-06-24', 'rank': 1}, {'date': '2024-06-25', 'rank': 1}, {'date': '2024-06-26', 'rank': 1}, {'date': '2024-06-27', 'rank': 1}, {'date': '2024-06-28', 'rank': 1}, {'date': '2024-06-29', 'rank': 1}, {'date': '2024-06-30', 'rank': 1}, {'date': '2024-07-01', 'rank': 1}]"
5596,Billie Eilish,https://i.scdn.co/image/ab67616100005174d8b9980db67272cb4d2c3daf,000000046748058X,US,Los Angeles,False,,95851913.0,94.0,98038433.0,7887288.0,2.0,590986.0,"['Pop', 'Electronic', 'Dance']",2024-07-01,94,2,0.0,0.0,78,2024-07-01 08:58:49.864,2019-06-28,1,2271,"[{'date': '2024-06-18', 'rank': 2}, {'date': '2024-06-19', 'rank': 2}, {'date': '2024-06-20', 'rank': 2}, {'date': '2024-06-21', 'rank': 2}, {'date': '2024-06-22', 'rank': 2}, {'date': '2024-06-23', 'rank': 2}, {'date': '2024-06-24', 'rank': 2}, {'date': '2024-06-25', 'rank': 2}, {'date': '2024-06-26', 'rank': 2}, {'date': '2024-06-27', 'rank': 2}, {'date': '2024-06-28', 'rank': 2}, {'date': '2024-06-29', 'rank': 2}, {'date': '2024-06-30', 'rank': 2}, {'date': '2024-07-01', 'rank': 2}]"
3380,Drake,https://i.scdn.co/image/ab676161000051744293385d324db8558179afd9,000000012032246X,CA,Toronto,False,,89988529.0,94.0,74971044.0,23103420.0,3.0,579673.0,['Hip-Hop/Rap'],2024-07-01,94,3,0.0,0.0,78,2024-07-01 08:58:49.864,2021-11-16,1,2277,"[{'date': '2024-06-18', 'rank': 3}, {'date': '2024-06-19', 'rank': 4}, {'date': '2024-06-20', 'rank': 4}, {'date': '2024-06-21', 'rank': 4}, {'date': '2024-06-22', 'rank': 3}, {'date': '2024-06-23', 'rank': 3}, {'date': '2024-06-24', 'rank': 3}, {'date': '2024-06-25', 'rank': 3}, {'date': '2024-06-26', 'rank': 3}, {'date': '2024-06-27', 'rank': 3}, {'date': '2024-06-28', 'rank': 3}, {'date': '2024-06-29', 'rank': 3}, {'date': '2024-06-30', 'rank': 3}, {'date': '2024-07-01', 'rank': 3}]"
3852,The Weeknd,https://i.scdn.co/image/ab6761610000e5eb214f3cf1cbe7139c1e26ffbb,0000000382556637,CA,,False,,85672222.0,93.0,105692012.0,12623224.0,7.0,509034.0,"['Pop', 'R&B/Soul', 'Electronic']",2024-07-01,93,4,0.0,0.0,78,2024-07-01 08:58:49.864,2023-03-22,1,2265,"[{'date': '2024-06-18', 'rank': 5}, {'date': '2024-06-19', 'rank': 3}, {'date': '2024-06-20', 'rank': 3}, {'date': '2024-06-21', 'rank': 3}, {'date': '2024-06-22', 'rank': 4}, {'date': '2024-06-23', 'rank': 4}, {'date': '2024-06-24', 'rank': 4}, {'date': '2024-06-25', 'rank': 4}, {'date': '2024-06-26', 'rank': 4}, {'date': '2024-06-27', 'rank': 4}, {'date': '2024-06-28', 'rank': 4}, {'date': '2024-06-29', 'rank': 4}, {'date': '2024-06-30', 'rank': 4}, {'date': '2024-07-01', 'rank': 4}]"
214945,Bad Bunny,https://i.scdn.co/image/ab6761610000e5eb9ad50e478a469448c6f369df,0000000466373221,PR,,True,,83110209.0,94.0,65967908.0,6746574.0,10.0,442257.0,"['Latin Hip-Hop/Rap', 'Latin Pop', 'Latin Dance', 'Latin']",2024-07-01,93,5,0.0,0.0,78,2024-07-01 08:58:49.864,2023-03-20,1,2267,"[{'date': '2024-06-18', 'rank': 4}, {'date': '2024-06-19', 'rank': 5}, {'date': '2024-06-20', 'rank': 5}, {'date': '2024-06-21', 'rank': 5}, {'date': '2024-06-22', 'rank': 5}, {'date': '2024-06-23', 'rank': 5}, {'date': '2024-06-24', 'rank': 5}, {'date': '2024-06-25', 'rank': 5}, {'date': '2024-06-26', 'rank': 5}, {'date': '2024-06-27', 'rank': 5}, {'date': '2024-06-28', 'rank': 5}, {'date': '2024-06-29', 'rank': 5}, {'date': '2024-06-30', 'rank': 5}, {'date': '2024-07-01', 'rank': 5}]"
3768,Kendrick Lamar,https://i.scdn.co/image/ab6761610000e5eb437b9e2a82505b3d93ff1022,0000000362907030,US,Compton,False,,30494478.0,92.0,72569278.0,5242777.0,6.0,526402.0,['Hip-Hop/Rap'],2024-07-01,92,6,0.0,0.0,78,2024-07-01 08:58:49.864,2018-04-15,2,2261,"[{'date': '2024-06-18', 'rank': 6}, {'date': '2024-06-19', 'rank': 6}, {'date': '2024-06-20', 'rank': 6}, {'date': '2024-06-21', 'rank': 6}, {'date': '2024-06-22', 'rank': 6}, {'date': '2024-06-23', 'rank': 6}, {'date': '2024-06-24', 'rank': 6}, {'date': '2024-06-25', 'rank': 6}, {'date': '2024-06-26', 'rank': 6}, {'date': '2024-06-27', 'rank': 6}, {'date': '2024-06-28', 'rank': 6}, {'date': '2024-06-29', 'rank': 6}, {'date': '2024-06-30', 'rank': 6}, {'date': '2024-07-01', 'rank': 6}]"
4215,Travis Scott,https://i.scdn.co/image/ab6761610000e5eb19c2790744c792d05570bb71,0000000384091917,US,Houston,False,Houston,30416243.0,92.0,66699005.0,2477829.0,30.0,301821.0,"['Hip-Hop/Rap', 'Pop', 'Electronic']",2024-07-01,92,7,0.0,-0.142857,78,2024-07-01 08:58:49.864,2018-09-20,2,2273,"[{'date': '2024-06-18', 'rank': 7}, {'date': '2024-06-19', 'rank': 7}, {'date': '2024-06-20', 'rank': 7}, {'date': '2024-06-21', 'rank': 7}, {'date': '2024-06-22', 'rank': 8}, {'date': '2024-06-23', 'rank': 8}, {'date': '2024-06-24', 'rank': 8}, {'date': '2024-06-25', 'rank': 7}, {'date': '2024-06-26', 'rank': 7}, {'date': '2024-06-27', 'rank': 7}, {'date': '2024-06-28', 'rank': 7}, {'date': '2024-06-29', 'rank': 7}, {'date': '2024-06-30', 'rank': 7}, {'date': '2024-07-01', 'rank': 7}]"
236,Eminem,https://i.scdn.co/image/ab6761610000e5eba00b11c129b27a88fc72f36b,0000000368611919,US,St. Joseph,False,Detroit,86235306.0,91.0,83778667.0,17372181.0,4.0,550332.0,['Hip-Hop/Rap'],2024-07-01,91,8,0.0,0.142857,78,2024-07-01 08:58:49.864,2020-02-09,1,2274,"[{'date': '2024-06-18', 'rank': 9}, {'date': '2024-06-19', 'rank': 9}, {'date': '2024-06-20', 'rank': 9}, {'date': '2024-06-21', 'rank': 9}, {'date': '2024-06-22', 'rank': 7}, {'date': '2024-06-23', 'rank': 7}, {'date': '2024-06-24', 'rank': 7}, {'date': '2024-06-25', 'rank': 8}, {'date': '2024-06-26', 'rank': 8}, {'date': '2024-06-27', 'rank': 8}, {'date': '2024-06-28', 'rank': 8}, {'date': '2024-06-29', 'rank': 8}, {'date': '2024-06-30', 'rank': 8}, {'date': '2024-07-01', 'rank': 8}]"
3963,Ariana Grande,https://i.scdn.co/image/ab6761610000e5eb40b5c07ab77b6b1a9075fdc0,0000000059110272,US,,False,Boca Raton,97387439.0,91.0,79515996.0,12626703.0,9.0,485441.0,"['Pop', 'Electronic', 'R&B/Soul']",2024-07-01,91,9,-2.0,-0.142857,78,2024-07-01 08:58:49.864,2020-12-02,1,2267,"[{'date': '2024-06-18', 'rank': 10}, {'date': '2024-06-19', 'rank': 10}, {'date': '2024-06-20', 'rank': 10}, {'date': '2024-06-21', 'rank': 10}, {'date': '2024-06-22', 'rank': 10}, {'date': '2024-06-23', 'rank': 10}, {'date': '2024-06-24', 'rank': 10}, {'date': '2024-06-25', 'rank': 10}, {'date': '2024-06-26', 'rank': 10}, {'date': '2024-06-27', 'rank': 10}, {'date': '2024-06-28', 'rank': 10}, {'date': '2024-06-29', 'rank': 10}, {'date': '2024-06-30', 'rank': 11}, {'date': '2024-07-01', 'rank': 9}]"
135326,Post Malone,https://i.scdn.co/image/ab6761610000e5ebe17c0aa1714a03d62b5ce4e0,0000000463129709,US,,False,,44387348.0,90.0,87745173.0,3789397.0,12.0,403084.0,"['Hip-Hop/Rap', 'Pop']",2024-07-01,90,10,1.0,0.142857,78,2024-07-01 08:58:49.864,2020-01-14,1,2269,"[{'date': '2024-06-18', 'rank': 8}, {'date': '2024-06-19', 'rank': 8}, {'date': '2024-06-20', 'rank': 8}, {'date': '2024-06-21', 'rank': 8}, {'date': '2024-06-22', 'rank': 9}, {'date': '2024-06-23', 'rank': 9}, {'date': '2024-06-24', 'rank': 9}, {'date': '2024-06-25', 'rank': 9}, {'date': '2024-06-26', 'rank': 9}, {'date': '2024-06-27', 'rank': 9}, {'date': '2024-06-28', 'rank': 9}, {'date': '2024-06-29', 'rank': 9}, {'date': '2024-06-30', 'rank': 9}, {'date': '2024-07-01', 'rank': 10}]"
