tiktok_id,posts,timestp,isrc,track_name,tiktok_track_id,artist_name,image_url,record_label
448,329500,2023-01-01T00:09:59.869Z,GBAHT0108626,Only Time,Only-Time-6569457135044791042,Enya,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/7d0cf84ce64643d4971e1f7e20eb2ca9.jpeg,WM UK
477,736200,2023-01-01T00:18:29.032Z,USDEI8204352,Come and Get Your Love,Come-and-Get-Your-Love-6688272830112566021,Redbone,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/97cb0e173250490790342268e05a392b.jpeg,K-Tel
499,273400,2023-01-01T00:26:03.228Z,USSM11901941, Old Town Road #2,Old-Town-Road-2-6688178898284317442,lil nas x,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/00e6c0b66559417088c358db301792af.jpeg,Lil Nas X
503,527700,2023-01-01T00:25:51.396Z,USRC10900433,TiK ToK,TiK-ToK-6584231176003652358,Kesha,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/047f7db44222433da7d63cc842e52d4d.jpeg,EMI Music Netherlands B.V.
684,323100,2023-01-01T00:08:07.603Z,CAC221400023,"My Heart Will Go On (Love Theme from ""Titanic"")",My-Heart-Will-Go-On-Love-Theme-from-Titanic-6610664419187755778,Celine Dion,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/27177e7d37e744a4a295405d2172d9ef.jpeg,Columbia
1972,358500,2023-01-01T00:15:59.304Z,USSD11000301,Waka Waka (This Time for Africa),Waka-Waka-This-Time-for-Africa-170975685178507264,Shakira,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/5cb65a734afc42ff80dc811b08abf4aa.jpeg,Sony Music Latin/Epic
3552,239300,2023-01-01T00:20:11.130Z,USHM81323578,Dancing In The Sky,Dancing-In-The-Sky-242456223143534592,Dani and Lizzy,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/e360af21fc09424ebb068a537d05cc56.jpeg,Dani and Lizzy Music Inc.
3786,89900,2023-01-01T00:43:43.247Z,INS171602089,Ae Dil Hai Mushkil,Ae-Dil-Hai-Mushkil-6686340916271123206,Arijit Singh,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/a2052ca8bc35442aa7cf0b3996d0a618.jpeg,Sony Music Entertainment
4051,338200,2023-01-01T00:21:11.256Z,US7SR1600006,Devil Eyes,Devil-Eyes-6684784218439944193,Hippie Sabotage,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/d9be89a6c1024f34954982f746b010a1.jpeg,I Hiphop
4064,61600,2023-01-01T00:31:02.392Z,INS171401263,"Samjhawan (Unplugged by Alia Bhatt) [From ""Humpty Sharma Ki Dulhania""]",Samjhawan-Unplugged-by-Alia-Bhatt-222519792740556800,Jawad Ahmed & Sharib Toshi & Alia Bhatt,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/ddc9c561e1d44e17a977cb867442310d.jpeg,Sony Music Entertainment
4525,271600,2023-01-01T00:21:08.791Z,USUM71311293,Birthday,Birthday-227495781807702016,Katy Perry,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/a888c781c67549c687e7eccc469f7681.jpeg,Universal Music Australia Pty. Ltd.
4525,271700,2023-01-01T06:08:15.635Z,USUM71311293,Birthday,Birthday-227495781807702016,Katy Perry,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/a888c781c67549c687e7eccc469f7681.jpeg,Universal Music Australia Pty. Ltd.
5534,211300,2023-01-01T00:21:01.699Z,USSM11001353,Waka Waka (This Time for Africa),Waka-Waka-This-Time-for-Africa-6465882524152400653,Shakira,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/422081a8f1984117a2fbe76f5754a66a.jpeg,EMI Music Netherlands B.V.
6198,458000,2023-01-01T00:21:10.399Z,QMLA71400326, Dancin (KRONO Remix),Dancin-KRONO-Remix-6671091943436454658,Aaron Smith ,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/f5b78c22a7574af3a4e8e0aae94decf8.jpeg,Sony Music Entertainment
6548,249000,2023-01-01T00:09:21.751Z,USL2S0620350,Life is a Highway,Life-is-a-Highway-222335684710207488,Rascal Flatts,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/edd77a9d20cc4e6683bf965c1c4bc9df.jpeg,Walt Disney Records
9163,360300,2023-01-01T00:11:45.855Z,USUG11801811,Drip Too Hard,Drip-Too-Hard-6613051728122087429,Lil Baby & Gunna,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/aa07026d63334630923ef0ff606f9bb3.jpeg,"Quality Control Music/Young Stoner Life Records, a 300 Entertainment Label/Motown Records/Capitol Records"
10058,141900,2023-01-01T18:09:10.620Z,USAR11100030, I Wanna Dance With Somebody ,I-Wanna-Dance-With-Somebody-6681070731771513601,Whitney Houston,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/f504681220a7455f89640e8e7bd78fc7.jpeg,Sony Music Entertainment
10245,184600,2023-01-01T00:20:16.946Z,USSM16300086,It's The Most Wonderful Time Of The Year,It's-The-Most-Wonderful-Time-Of-The-Year-6628433367954098945,Andy Williams,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/3dd880a1fd8e4f949bddebb7b8210789.jpeg,Sony Music Media
10296,451500,2023-01-01T00:14:18.052Z,NOG841549010,Faded (Instrumental),Faded-Instrumental-242494092621066240,Alan Walker,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/24819aadaeec4878a4a6307b2a7cc01c.jpeg,MER Musikk
10451,274300,2023-01-01T00:32:39.847Z,USEE10001295,I'll Be There for You (TV Version with Dialogue),I'll-Be-There-for-You-TV-Version-with-Dialogue-225205863765221376,The Rembrandts,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/9558300becf944f48d13473e5ee3b768.jpeg,Rhino Atlantic
11535,896800,2023-01-01T00:09:20.078Z,QMTND1101558,Coming In Hot,Coming-In-Hot-6733266551195172870,Lecrae,https://p16-sg.tiktokcdn.com/aweme/720x720/tos-alisg-v-2774/82d1585c5f7e4cfcbb1f2668b42d8de7.jpeg,Reach Records
